STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; eor                                                                                                          
    13667;  2018062112;   2;0;   27.8;   38;eor                                                                                                                                                         
    13667;  2018062113;   2;0;   26.2;   40;eor                                                                                                                                                         
    13667;  2018062114;   2;0;   26.9;   41;eor                                                                                                                                                         
    13667;  2018062115;   2;0;   27.0;   43;eor                                                                                                                                                         
    13667;  2018062116;   2;0;   24.9;   50;eor                                                                                                                                                         
    13667;  2018062117;   2;0;   23.1;   56;eor                                                                                                                                                         
    13667;  2018062118;   2;0;   23.5;   48;eor                                                                                                                                                         
    13667;  2018062119;   2;0;   21.6;   48;eor                                                                                                                                                         
    13667;  2018062120;   2;0;   20.4;   47;eor                                                                                                                                                         
    13667;  2018062121;   2;0;   19.1;   41;eor                                                                                                                                                         
    13667;  2018062122;   2;0;   17.5;   44;eor                                                                                                                                                         
    13667;  2018062123;   2;0;   15.5;   50;eor                                                                                                                                                         
    13667;  2018062200;   2;0;   14.4;   51;eor                                                                                                                                                         
    13667;  2018062201;   2;0;   13.1;   54;eor                                                                                                                                                         
    13667;  2018062202;   2;0;   12.7;   53;eor                                                                                                                                                         
    13667;  2018062203;   2;0;   11.7;   57;eor                                                                                                                                                         
    13667;  2018062204;   2;0;   10.5;   66;eor                                                                                                                                                         
    13667;  2018062205;   2;0;   10.6;   68;eor                                                                                                                                                         
    13667;  2018062206;   2;0;   11.7;   64;eor                                                                                                                                                         
    13667;  2018062207;   2;0;   15.1;   54;eor                                                                                                                                                         
    13667;  2018062208;   2;0;   15.3;   51;eor                                                                                                                                                         
    13667;  2018062209;   2;0;   17.6;   39;eor                                                                                                                                                         
    13667;  2018062210;   2;0;   18.2;   40;eor                                                                                                                                                         
    13667;  2018062211;   2;0;   18.9;   39;eor                                                                                                                                                         
    13667;  2018062212;   2;0;   19.2;   35;eor                                                                                                                                                         
    13667;  2018062213;   2;0;   19.5;   37;eor                                                                                                                                                         
    13667;  2018062214;   2;0;   19.9;   37;eor                                                                                                                                                         
    13667;  2018062215;   2;0;   19.8;   39;eor                                                                                                                                                         
    13667;  2018062216;   2;0;   18.9;   39;eor                                                                                                                                                         
