Tag;Stunde;SUM_GS200;AVG_TA200
19.12.2018;19:00;,00;6,27
19.12.2018;20:00;,00;6,90
19.12.2018;21:00;,00;7,38
19.12.2018;22:00;,00;7,67
19.12.2018;23:00;,00;8,09
20.12.2018;00:00;,00;7,77
20.12.2018;01:00;,00;7,88
20.12.2018;02:00;,00;7,94
20.12.2018;03:00;,00;7,94
20.12.2018;04:00;,00;7,96
20.12.2018;05:00;,00;7,85
20.12.2018;06:00;,00;7,41
20.12.2018;07:00;,00;7,36
20.12.2018;08:00;,00;7,22
20.12.2018;09:00;54,72;7,28
20.12.2018;10:00;138,13;8,09
20.12.2018;11:00;116,83;8,49
20.12.2018;12:00;125,63;8,95
20.12.2018;13:00;104,17;8,78
20.12.2018;14:00;49,15;8,55
20.12.2018;15:00;22,62;7,76
20.12.2018;16:00;,00;7,05
20.12.2018;17:00;,00;7,18
20.12.2018;18:00;,00;7,64
20.12.2018;19:00;,00;7,99
20.12.2018;20:00;,00;8,08
20.12.2018;21:00;,00;8,08
20.12.2018;22:00;,00;7,98
20.12.2018;23:00;,00;8,38
21.12.2018;00:00;,00;8,58
21.12.2018;01:00;,00;8,89
21.12.2018;02:00;,00;8,85
21.12.2018;03:00;,00;8,81
21.12.2018;04:00;,00;9,43
21.12.2018;05:00;,00;10,20
21.12.2018;06:00;,00;11,10
21.12.2018;07:00;,00;10,72
21.12.2018;08:00;,00;10,48
21.12.2018;09:00;,00;9,75
21.12.2018;10:00;28,78;11,28
21.12.2018;11:00;20,40;11,12
21.12.2018;12:00;23,63;11,44
21.12.2018;13:00;20,13;11,06
21.12.2018;14:00;12,03;11,21
21.12.2018;15:00;,00;11,62
21.12.2018;16:00;,00;11,56
21.12.2018;17:00;,00;11,52
21.12.2018;18:00;,00;11,65
21.12.2018;19:00;,00;11,85
21.12.2018;20:00;,00;11,83
21.12.2018;21:00;,00;11,95
21.12.2018;22:00;,00;12,12
21.12.2018;23:00;,00;12,48
22.12.2018;00:00;,00;12,79
22.12.2018;01:00;,00;13,04
22.12.2018;02:00;,00;13,14
22.12.2018;03:00;,00;13,00
22.12.2018;04:00;,00;12,66
22.12.2018;05:00;,00;12,46
22.12.2018;06:00;,00;12,33
22.12.2018;07:00;,00;11,95
22.12.2018;08:00;,00;11,38
22.12.2018;09:00;12,70;11,73
22.12.2018;10:00;41,10;11,84
22.12.2018;11:00;116,83;11,93
22.12.2018;12:00;50,32;11,73
22.12.2018;13:00;46,62;11,82
22.12.2018;14:00;83,20;12,05
22.12.2018;15:00;72,40;12,04
22.12.2018;16:00;11,30;11,39
22.12.2018;17:00;,00;11,05
22.12.2018;18:00;,00;11,03
22.12.2018;19:00;,00;10,79
22.12.2018;20:00;,00;10,16
22.12.2018;21:00;,00;10,19
22.12.2018;22:00;,00;10,05
22.12.2018;23:00;,00;10,46
23.12.2018;00:00;,00;10,50
23.12.2018;01:00;,00;10,29
23.12.2018;02:00;,00;10,11
23.12.2018;03:00;,00;10,00
23.12.2018;04:00;,00;9,91
23.12.2018;05:00;,00;9,92
23.12.2018;06:00;,00;9,88
23.12.2018;07:00;,00;9,90
23.12.2018;08:00;,00;9,96
23.12.2018;09:00;15,27;10,06
23.12.2018;10:00;28,82;10,26
23.12.2018;11:00;42,27;10,29
23.12.2018;12:00;38,50;9,70
23.12.2018;13:00;31,43;9,70
23.12.2018;14:00;25,22;11,01
23.12.2018;15:00;14,40;11,34
23.12.2018;16:00;,00;11,62
23.12.2018;17:00;,00;12,06
23.12.2018;18:00;,00;12,13
23.12.2018;19:00;,00;12,25
23.12.2018;20:00;,00;12,40
23.12.2018;21:00;,00;12,50
23.12.2018;22:00;,00;12,58
23.12.2018;23:00;,00;12,62
24.12.2018;00:00;,00;12,71
24.12.2018;01:00;,00;12,65
24.12.2018;02:00;,00;12,41
24.12.2018;03:00;,00;12,26
24.12.2018;04:00;,00;12,24
24.12.2018;05:00;,00;10,52
24.12.2018;06:00;,00;8,81
24.12.2018;07:00;,00;8,20
24.12.2018;08:00;,00;7,22
24.12.2018;09:00;,00;6,79
24.12.2018;10:00;41,17;6,64
24.12.2018;11:00;93,08;6,54
24.12.2018;12:00;89,32;6,92
24.12.2018;13:00;108,53;7,08
24.12.2018;14:00;107,50;6,91
24.12.2018;15:00;58,07;6,67
24.12.2018;16:00;10,32;5,67
24.12.2018;17:00;,00;3,91
24.12.2018;18:00;,00;3,26
24.12.2018;19:00;,00;2,80
24.12.2018;20:00;,00;2,67
24.12.2018;21:00;,00;1,97
24.12.2018;22:00;,00;1,43
24.12.2018;23:00;,00;1,58
25.12.2018;00:00;,00;1,49
25.12.2018;01:00;,00;,72
25.12.2018;02:00;,00;,04
25.12.2018;03:00;,00;-,19
25.12.2018;04:00;,00;-,86
